id,text,is_humor,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5,humor_rating,humor_mechanism,humor_target
tweet22,"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",1,2,1,1,0,1,0,2.3333,reference,substance use
tweet40,"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",1,0,1,1,2,1,0,2.6,embarrassment,health
tweet64,4 etapas de la vida: 1- Creer en Santa Claus. 2- No creer en Santa Claus. 3- Ser Santa Claus. 4- Parecerse a Santa Claus,1,0,0,3,1,1,0,2.6,analogy,age
tweet71,-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,1,0,7,2,11,2,2,2.583333333,misunderstanding,body shaming; women
tweet74,Teníamos una farmacia pero la cerramos porque no teníamos mas remedio. #fb,1,0,1,1,1,1,2,3.3333,wordplay,professions
tweet81,Pasa una mujer y jaimito le dice: oye te dolio? -Que cosa? -Cuando te caiste del cielo! -Ay q lindo -Noo es q te quedo la cara vuelta mierd@,1,0,2,2,1,0,0,1.8,insults,body shaming; women
tweet84,¿Tu? ¿Gustarme? JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JÁ Tengo que disimular un poco mas.,1,1,2,1,1,0,0,1.75,unmasking,self-deprecating
tweet95,"Cada vez que estoy pasando por momentos difíciles me pregunto ""¿Qué haría Jesús en ésta situación?"" Después me acuesto y me duermo tres días",1,0,1,0,4,0,0,2.6,irony,religion
tweet97,"- El otro día ví a tu suegra y .....
- ¡Alto ahí! se dice ""madre política""
- Pero si la política es una mierda.
-...",1,1,3,1,0,0,0,1.25,wordplay,family/relationships
tweet101,"Si yo fuera presidente haria pintar la casa de gobierno de celeste , porque soy varon  #chistes #humor",1,1,2,2,0,0,0,1.5,stereotype,men
tweet107,"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",1,0,2,3,0,0,0,1.6,exaggeration,women
tweet116,"No se que dura menos, si la bateria de mi celular o yo estudiando.",1,1,2,1,1,0,0,1.75,analogy,self-deprecating
tweet124,"Doctor, ¿cuanto me queda de vida? - Diez... - Diez qué? - Diez, nueve, ocho, siete... #humortico",1,1,0,1,2,0,1,3.25,exaggeration,professions
tweet133,"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",1,0,4,0,0,0,1,1.8,embarrassment,body shaming
tweet137,Pasa cupido y me dice: OLEEEEEEEE,1,0,2,2,1,0,0,1.8,absurd,self-deprecating
tweet156,Algún día les voy a contar del Boludo que desayuna café con empanadas. Ahora no porque me cago encima. Me cayó mal el café con empanadas.,1,0,3,1,1,0,0,1.6,unmasking,self-deprecating
tweet183,"—Puta.
—¡¿QUEEÉ DIJISTE?!
—Puta sorda.",1,2,0,1,2,0,0,2.6667,insults,women
tweet201,"Danos hoy el tweet de cada día
Perdona nuestros Unfollows",1,2,3,0,0,0,0,1,parody,religion
tweet222,Mi sombra me dice que baje de peso o se va a la mierda y no la vuelvo a ver nunca más.,1,2,1,2,0,0,0,1.6667,absurd,self-deprecating
tweet237,"— Mama estoy Cansada... — ¿EMBARAZADA? condenada muchacha del demonio, te me vas de esta........ — Mama, dije ¡C.A.N.S.A.D.A.!",1,1,4,0,0,0,0,1,misunderstanding,family/relationships
tweet240,"-Hijo que es eso de Twistter?
-Es un virus mamá, ni se te ocurra abrirlo.",1,0,3,4,1,2,0,2.2,misunderstanding,age
tweet245,Típico : Estar viajando en taxi y pensar tácticas de escape por si el taxista te quiere secuestrar.,1,1,3,0,0,0,1,2,reference,professions
tweet265,"como ladra un perro argentino?????
Este...Guau    #chistes #humor",1,1,1,1,2,0,0,2.25,stereotype,ethnicity/origin
tweet286,Los juegos de mesa destruyen más familias que las secretarías.,1,0,3,1,0,1,0,1.8,stereotype,professions
tweet300,"– Yo haría cualquier cosa por ti, mi amor.
– Desátame y déjame ir.
– Ah no, eso no.",1,1,1,1,2,0,0,2.25,unmasking,sexual aggressors
tweet308,"Situación sentimental:

Creo que la única persona que me robara el corazón será un traficange de órganos.",1,1,1,0,2,1,0,2.75,exaggeration,self-deprecating
tweet346,"Las mujeres quieren a alguien que las proteja y las haga reír, algo así como un payaso ninja...",1,1,4,2,2,1,0,2,analogy,women
tweet387,"Aló, Diga? - Tenemos secuestrada a tu suegra, si quieres volver a verla tienes qu.... *tutututututututu*",1,0,1,1,1,1,1,3,unmasking,family/relationships
tweet432,Hay un mundo mejor ¡Pero es muy caro! #Frases #fb,1,1,0,1,3,0,0,2.75,parody,social status
tweet447,"Dicen que hay 140 calorías en una lata de Coca-Cola, pero aquí está mi secreto: nunca me como la lata.",1,1,1,3,0,0,0,1.75,wordplay,body shaming
tweet467,"“Con este clima me dan ganas de estar todo el día acostado”

—Yo, con todos los climas.",1,1,2,1,1,0,0,1.75,reference,self-deprecating
tweet478,#Chiste mama mama ya no soy virgen............-TE SACARON DE PASTORSITA?????...........-no mi tio me violo!! #Chistes RT,1,1,3,1,0,0,0,1.25,unmasking,sexual aggressors
tweet486,"-Pa, ¿qué es ser un hombre? 
- Es ser el que toma decisiones, el que manda.
- Ahh, un día quiero ser un hombre,  como mi mamá.",1,0,0,1,2,1,1,3.4,stereotype,men
tweet488,"Todos los dias planeo hacer cosas de mañana y acá estoy, mi vida la maneja chano",1,1,3,1,0,0,0,1.25,irony,professions
tweet495,¿Así es tu cara? ¿O te bautizaron con agua hirviendo?,1,1,2,1,1,0,0,1.75,exaggeration,body shaming
tweet508,"Pasa un niño y otro niño le dice: -¡Adiós bizco! Y él contesta: -Adiós, par de maricas! #fb",1,1,1,3,0,0,0,1.75,stereotype,body shaming
tweet511,"Con mi ex terminamos por algunas diferencias religiosas, yo era cristiano y ella satanás.",1,1,3,1,0,0,0,1.25,analogy,family/relationships
tweet565,"-Hola mi amor, estoy en un embotellamiento. -¿A qué hora llegarás? -Pues cuando se terminen las botellas.” #Plop #fb",1,0,1,3,1,0,0,2,unmasking,substance use
tweet584,"Oye, deberías pedir trabajo ahí -¿Por qué lo dices, amor? -Porque ahí dice: ""INTERESADAS"" pedir informes.",1,0,3,2,0,0,0,1.4,wordplay,women
tweet613,"En mis tiempos el baño se hizo para cagar, no para tomarse fotos!! Atte: mi abuelita #XD #JAJAJA #RT",1,0,4,5,1,0,0,1.7,reference,age
tweet615,"Un tipo tan de malas que compró el libro COMO DOMINAR A LAS MUJERES, y la mujer no se lo dejó leer. xD",1,0,1,1,2,1,0,2.6,irony,women
tweet630,"Entra una señora a la carnicería y dice:
Deme esa cabeza de cerdo de allí
Y contesta el carnicero:
Perdone señora, pero eso es un espejo",1,0,1,2,1,1,0,2.4,embarrassment,women
tweet662,"Un borracho en moto choca con una señal de tránsito, llega un policía y le pregunta: - ¿no vio la flecha? -No, ni al indio que me la tiró",1,0,0,3,2,0,0,2.4,misunderstanding,substance use
tweet665,"—Amor, ¿Estoy gorda? —No, tienes el cuerpo común. —¿Común? —Sí, común balón pinche gorda, ¡MÉTETE AL GIMNASIO!",1,0,2,3,0,0,0,1.6,unmasking,body shaming; women
tweet713,"—Hijo, ¿ya sabes que vas a estudiar?
—No, aún no decido.
—¿Qué te gusta? 
—Dormir.",1,2,1,2,0,0,0,1.6667,absurd,age; self-deprecating
tweet714,"—Amor, dime algo que me vuelva loca. —¡Mira! Esa mujer tiene el mismo vestido que tú.",1,0,0,3,0,2,0,2.8,misunderstanding,women
tweet726,-Mi gorda mujer consultó con un célebre dietólogo -¿Y cuanto ha perdido? -En tres meses que lleva... cien mil pesos! #fb,1,0,1,3,1,0,0,2,misunderstanding,body shaming
tweet735,"Hay 5 putas en la calle, Ya, Ye, Yi, Yu, ¿cual falta?",1,1,4,2,1,0,0,1.571428571,insults,women
tweet744,"Dos madres hablando:
- ¡Dígale a su hijo que me deje de imitar!
- Jaimito, ¡deja de hacer el idiota!",1,0,0,1,2,0,2,3.6,embarrassment,age
tweet755,"Acá, en la pile tomando una rica cerveza con mi novia. Sin la pile, la cerveza y sin novia. O sea, acá nomas.",1,2,2,0,1,0,0,1.6667,unmasking,self-deprecating
tweet756,"-Mi mujer cuando se desnuda en la cama es como una llama -¿Es ardiente y fogosa? -¡No, es peluda y escupe! jajaja",1,1,0,0,1,3,0,3.75,wordplay,women
tweet761,Ayer fui a un lugar de solas y solos y en la puerta me miraron y me dijeron no estamos tan solos  #CHISTES,1,0,3,1,1,0,0,1.6,embarrassment,self-deprecating
tweet777,"Las mamás de todos:

—""Mi hijo sufre bullying lo llevaré al psicólogo"".

Mi mamá:

—""Si te pegan, te voy a pegar más fuerte yo por pendejo"".",1,2,1,1,1,0,0,2,reference,family/relationships
tweet816,"Yo iba a ser buena onda, pero me caí y el Diablo me chupó y me convertí en este ser amargado.",1,2,2,1,0,0,0,1.3333,exaggeration,self-deprecating
tweet828,"Mujeres stalkeando:

Encuentran algo: PUTA MADRE ¡lo sabía, es un pendejo!
No hallan nada: PUTA MADRE, borró todo. ¡Lo sabía, es un pendejo!",1,2,2,1,0,0,0,1.3333,stereotype,women
